a, ᠠ
aba, ᠠᠪᠠ
abalambi, ᠠᠪᠠᠯᠠᠮᠪᡳ
abdaha, ᠠᠪᡩᠠᡥᠠ
abka, ᠠᠪᡴᠠ
abkai, ᠠᠪᡴᠠᡳ
acambi, ᠠᠴᠠᠮᠪᡳ
acan, ᠠᠴᠠᠨ
adali, ᠠᡩᠠᠯᡳ
adarame, ᠠᡩᠠᡵᠠᠮᡝ
adu, ᠠᡩᡠ
aduci, ᠠᡩᡠᠴᡳ
adulambi, ᠠᡩᡠᠯᠠᠮᠪᡳ
adun, ᠠᡩᡠᠨ
aga, ᠠᡤᠠ
agambi, ᠠᡤᠠᠮᠪᡳ
age, ᠠᡤᡝ
aha, ᠠᡥᠠ
ahasi, ᠠᡥᠠᠰᡳ
ahūn, ᠠᡥᡡᠨ
ahūngga, ᠠᡥᡡᠩᡤᠠ
ahūnta, ᠠᡥᡡᠨᡨᠠ
ai, ᠠᡳ
aici, ᠠᡳᠴᡳ
aidagan, ᠠᡳᡩᠠᡤᠠᠨ
aifini, ᠠᡳᡶᡳᠨᡳ
aiha, ᠠᡳᡥᠠ
aihū, ᠠᡳᡥᡡ
aihūn, ᠠᡳᡥᡡᠨ
aika, ᠠᡳᡴᠠ
aili, ᠠᡳᠯᡳ
aiman, ᠠᡳᠮᠠᠨ
ainu, ᠠᡳᠨᡠ
aisin, ᠠᡳᠰᡳᠨ
ai᠌nu, ᠠᡳ᠌ᠨᡠ
ai᠌u᠌han, ᠠᡳ᠌ᡠ᠌ᡥᠠᠨ
aja, ᠠᠵᠠ
ajige, ᠠᠵᡳᡤᡝ
ajirgan, ᠠᠵᡳᡵᡤᠠᠨ
akambi, ᠠᡴᠠᠮᠪᡳ
akjan, ᠠᡴᠵᠠᠨ
akū, ᠠᡴᡡ
ak᠋su, ᠠᡴ᠋ᠰᡠ
ala, ᠠᠯᠠ
alajan, ᠠᠯᠠᠵᠠᠨ
alašan, ᠠᠯᠠᡧᠠᠨ
alcuka, ᠠᠯᠴᡠᡴᠠ
algin, ᠠᠯᡤᡳᠨ
alikū, ᠠᠯᡳᡴᡡ
alimbi, ᠠᠯᡳᠮᠪᡳ
alin, ᠠᠯᡳᠨ
aliren, ᠠᠯᡳᡵᡝᠨ
ama, ᠠᠮᠠ
amaga, ᠠᠮᠠᡤᠠ
amaka, ᠠᠮᠠᡴᠠ
amala, ᠠᠮᠠᠯᠠ
amargi, ᠠᠮᠠᡵᡤᡳ
amba, ᠠᠮᠪᠠ
amban, ᠠᠮᠪᠠᠨ
ambu, ᠠᠮᠪᡠ
ambuma, ᠠᠮᠪᡠᠮᠠ
amgambi, ᠠᠮᡤᠠᠮᠪᡳ
amha, ᠠᠮᡥᠠ
amihūn, ᠠᠮᡳᡥᡡᠨ
amila, ᠠᠮᡳᠯᠠ
amji, ᠠᠮᠵᡳ
amtan, ᠠᠮᡨᠠᠨ
amtangga, ᠠᠮᡨᠠᠩᡤᠠ
amu, ᠠᠮᡠ
an, ᠠᠨ
ana, ᠠᠨᠠ
anakū, ᠠᠨᠠᡴᡡ
anambi, ᠠᠨᠠᠮᠪᡳ
ancun, ᠠᠨᠴᡠᠨ
anda, ᠠᠨᡩᠠ
angga, ᠠᠩᡤᠠ
aniya, ᠠᠨᡳᠶᠠ
anju, ᠠᠨᠵᡠ
antaha, ᠠᠨᡨᠠᡥᠠ
antahasi, ᠠᠨᡨᠠᡥᠠᠰᡳ
ara, ᠠᡵᠠ
araha, ᠠᡵᠠᡥᠠ
arambi, ᠠᡵᠠᠮᠪᡳ
arara, ᠠᡵᠠᡵᠠ
arfa, ᠠᡵᡶᠠ
arke, ᠠᡵᡴᡝ
arki, ᠠᡵᡴᡳ
arsalan, ᠠᡵᠰᠠᠯᠠᠨ
arsari, ᠠᡵᠰᠠᡵᡳ
arsun, ᠠᡵᠰᡠᠨ
asha, ᠠᠰᡥᠠ
ashangga, ᠠᠰᡥᠠᠩᡤᠠ
asihan, ᠠᠰᡳᡥᠠᠨ
asu, ᠠᠰᡠ
asuki, ᠠᠰᡠᡴᡳ
atanggi, ᠠᡨᠠᠩᡤᡳ
ayalambi, ᠠᠶᠠᠯᠠᠮᠪᡳ
ayan, ᠠᠶᠠᠨ
aša, ᠠᡧᠠ
aššambi, ᠠᡧᡧᠠᠮᠪᡳ
ba, ᠪᠠ
baihal, ᠪᠠᡳᡥᠠᠯ
baikū, ᠪᠠᡳᡴᡡ
baita, ᠪᠠᡳᡨᠠ
baitalambi, ᠪᠠᡳᡨᠠᠯᠠᠮᠪᡳ
baksangga, ᠪᠠᡴᠰᠠᠩᡤᠠ
balgaši, ᠪᠠᠯᡤᠠᡧᡳ
balu, ᠪᠠᠯᡠ
baniha, ᠪᠠᠨᡳᡥᠠ
banjimbi, ᠪᠠᠨᠵᡳᠮᠪᡳ
baramida, ᠪᠠᡵᠠᠮᡳᡩᠠ
baru, ᠪᠠᡵᡠ
basa, ᠪᠠᠰᠠ
batang, ᠪᠠᡨᠠᠩ
baturu, ᠪᠠᡨᡠᡵᡠ
batu᠋ru, ᠪᠠᡨᡠ᠋ᡵᡠ
bayambi, ᠪᠠᠶᠠᠮᠪᡳ
bayan, ᠪᠠᠶᠠᠨ
baša, ᠪᠠᡧᠠ
be, ᠪᡝ
beging, ᠪᡝᡤᡳᠩ
behe, ᠪᡝᡥᡝ
bei, ᠪᡝᡳ
beihe, ᠪᡝᡳᡥᡝ
beikuwen, ᠪᡝᡳᡴᡠᠸᡝᠨ
beile, ᠪᡝᡳᠯᡝ
bei᠌le, ᠪᡝᡳ᠌ᠯᡝ
bei᠌se, ᠪᡝᡳ᠌ᠰᡝ
bejing, ᠪᡝᠵᡳᠩ
bele, ᠪᡝᠯᡝ
berhu, ᠪᡝᡵᡥᡠ
beri, ᠪᡝᡵᡳ
besergen, ᠪᡝᠰᡝᡵᡤᡝᠨ
beten, ᠪᡝᡨᡝᠨ
bethe, ᠪᡝᡨᡥᡝ
beye, ᠪᡝᠶᡝ
bi, ᠪᡳ
bicibe, ᠪᡳᠴᡳᠪᡝ
bigan, ᠪᡳᡤᠠᠨ
bigarambi, ᠪᡳᡤᠠᡵᠠᠮᠪᡳ
bikcu, ᠪᡳᡴᠴᡠ
bikcuni, ᠪᡳᡴᠴᡠᠨᡳ
bileri, ᠪᡳᠯᡝᡵᡳ
bilha, ᠪᡳᠯᡥᠠ
bilten, ᠪᡳᠯᡨᡝᠨ
bimbi, ᠪᡳᠮᠪᡳ
bing, ᠪᡳᠩ
binggiya, ᠪᡳᠩᡤᡳᠶᠠ
bira, ᠪᡳᡵᠠ
biregen, ᠪᡳᡵᡝᡤᡝᠨ
