aniya, ᠠᠨᡳᠶᠠ
manju, ᠮᠠᠨᠵᡠ
gisun, ᡤᡳᠰᡠᠨ
muke, ᠮᡠᡴᡝ
bi, ᠪᡳ
si, ᠰᡳ
suwe, ᠰᡠᠸᡝ
muse, ᠮᡠᠰᡝ
aga, ᠠᡤᠠ
ce, ᠴᡝ
i, ᡳ
dehi, ᡩᡝᡥᡳ
nadanju, ᠨᠠᡩᠠᠨᠵᡠ
ilha, ᡳᠯᡥᠠ
uyunju, ᡠᠶᡠᠨᠵᡠ
nadan, ᠨᠠᡩᠠᠨ
orin, ᠣᡵᡳᠨ
jakūnju, ᠵᠠᡴᡡᠨᠵᡠ
tanggū, ᡨᠠᠩᡤᡡ
ninju, ᠨᡳᠨᠵᡠ
duin, ᡩᡠᡳᠨ
ilan, ᡳᠯᠠᠨ
juwe, ᠵᡠᠸᡝ
sunja, ᠰᡠᠨᠵᠠ
uyun, ᡠᠶᡠᠨ
emu, ᡝᠮᡠ
gūsin, ᡤᡡᠰᡳᠨ
susai, ᠰᡠᠰᠠᡳ
jakūn, ᠵᠠᡴᡡᠨ
minggan, ᠮᡳᠩᡤᠠᠨ
juwan, ᠵᡠᠸᠠᠨ
ninggun, ᠨᡳᠩᡤᡠᠨ
usiha, ᡠᠰᡳᡥᠠ
solontu, ᠰᠣᠯᠣᠨᡨᡠ
šolontu, ᡧᠣᠯᠣᠨᡨᡠ
bira, ᠪᡳᡵᠠ
tacikū, ᡨᠠᠴᡳᡴᡡ
nikan, ᠨᡳᡴᠠᠨ
haha, ᡥᠠᡥᠠ
morin, ᠮᠣᡵᡳᠨ
šun, ᡧᡠᠨ
manju gisun, ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ
dulimbai gurun, ᡩᡠᠯᡳᠮᠪᠠᡳ ᡤᡠᡵᡠᠨ
jio, ᠵᡳᠣ
jidere, ᠵᡳᡩᡝᡵᡝ
canggi, ᠴᠠᠩᡤᡳ
algin, ᠠᠯᡤᡳᠨ
kušun, ᡴᡠᡧᡠᠨ
atanggi, ᠠᡨᠠᠩᡤᡳ
kooli, ᡴᠣᠣᠯᡳ
elbembi, ᡝᠯᠪᡝᠮᠪᡳ
facuhūn, ᡶᠠᠴᡠᡥᡡᠨ
wesimbi, ᠸᡝᠰᡳᠮᠪᡳ
jimbi, ᠵᡳᠮᠪᡳ
feliyembi, ᡶᡝᠯᡳᠶᡝᠮᠪᡳ
ei᠌membi, ᡝᡳ᠌ᠮᡝᠮᠪᡳ
abka, ᠠᠪᡴᠠ
ai᠌nu, ᠠᡳ᠌ᠨᡠ
hešu hašu, ᡥᡝᡧᡠ ᡥᠠᡧᡠ
gūwabsi, ᡤᡡᠸᠠᠪᠰᡳ
alin, ᠠᠯᡳᠨ
beye, ᠪᡝᠶᡝ
gege, ᡤᡝᡤᡝ
uju, ᡠᠵᡠ
tumen, ᡨᡠᠮᡝᠨ
meihe, ᠮᡝᡳᡥᡝ
tobgiya, ᡨᠣᠪᡤᡳᠶᠠ
dorgi baita be uheri kadalara yamun, ᡩᠣᡵᡤᡳ ᠪᠠᡳᡨᠠ ᠪᡝ ᡠᡥᡝᡵᡳ ᡴᠠᡩᠠᠯᠠᡵᠠ ᠶᠠᠮᡠᠨ
eriku, ᡝᡵᡳᡴᡠ
tubihe, ᡨᡠᠪᡳᡥᡝ
harbin, ᡥᠠᡵᠪᡳᠨ
gurun, ᡤᡠᡵᡠᠨ
wang, ᠸᠠᠩ
mei᠌he, ᠮᡝᡳ᠌ᡥᡝ
noyan, ᠨᠣᠶᠠᠨ
Ercis, ᡝᡵᠴᡳᠰ
lama, ᠯᠠᠮᠠ
sebden, ᠰᡝᠪᡩᡝᠨ
nimanggi, ᠨᡳᠮᠠᠩᡤᡳ
wehe, ᠸᡝᡥᡝ
indahūn, ᡳᠨᡩᠠᡥᡡᠨ
nai᠌hūmbi, ᠨᠠᡳ᠌ᡥᡡᠮᠪᡳ
bejing, ᠪᡝᠵᡳᠩ
hasihar, ᡥᠠᠰᡳᡥᠠᡵ
kasigar, ᡴᠠᠰᡳᡤᠠᡵ
yabumbi, ᠶᠠᠪᡠᠮᠪᡳ
ūlet, ᡡᠯᡝᡨ
monggo, ᠮᠣᠩᡤᠣ
hasak, ᡥᠠᠰᠠᡴ
tubet, ᡨᡠᠪᡝᡨ
Tubet, ᡨᡠᠪᡝᡨ
edun, ᡝᡩᡠᠨ
tugi, ᡨᡠᡤᡳ
gungheg'o, ᡤᡠᠩᡥᡝᡬᠣ
Baihal, ᠪᠠᡳᡥᠠᠯ
orgon, ᠣᡵᡤᠣᠨ
Selengge, ᠰᡝᠯᡝᠩᡤᡝ
kūrambi, ᡴᡡᡵᠠᠮᠪᡳ
loho, ᠯᠣᡥᠣ
